Microsoft Visual C++ 2012 x86 Minimum Runtime - 11.0.51106 False, ,11.0.51106, ,Microsoft Corporation
Microsoft Visual C++ 2019 X86 Minimum Runtime - 14.28.29325, ,14.28.29325, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x64) - 12.0.40660 False Eng, ,12.0.40660.0, ,Microsoft Corporation
Microsoft Visual C++ 2012 Redistributable (x86) - 11.0.61030, ,11.0.61030.0, ,Корпорация Майкрософт
Microsoft Visual C++ 2010 Redistributable - x86 10.0.40219, ,10.0.40219, ,Microsoft Corporation
Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.30501 False Eng, ,12.0.30501.0, ,Microsoft Corporation
Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005 False, ,12.0.21005, ,Microsoft Corporation
Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.50727 False, ,11.0.50727, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x86 9.0.21022 False, ,9.0.21022, ,Microsoft Corporation
7-Zip 23.01 (x64), ,23.01, ,Igor Pavlov
BlueStacks App Player, ,5.13.0.1075, ,now.gg, Inc.
CPUID CPU-Z 2.06, ,2.06, ,CPUID, Inc.
CrystalDiskInfo 9.1.1, ,9.1.1, ,Crystal Dew World
Git, ,2.42.0.2, ,The Git Development Community
Mozilla Firefox (x64 en-US), ,117.0, ,Mozilla
Mozilla Maintenance Service, ,117.0, ,Mozilla
Microsoft Office Professional Plus 2016, ,16.0.4266.1001, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40664, ,12.0.40664, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.56336 False, ,8.0.56336, ,Microsoft Corporation
Python 3.11.5 Development Libraries (64-bit), ,3.11.5150.0, ,Python Software Foundation
Python 3.11.5 Tcl/Tk Support (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2010 Redistributable - x64 10.0.40219, ,10.0.40219, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40649 False, ,12.0.40649, ,Microsoft Corporation
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.28.29325, ,14.28.29325, ,Microsoft Corporation
Microsoft Update Health Tools, ,3.73.0.0, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.0 False, ,9.0.30729, ,Microsoft Corporation
Python 3.11.5 Documentation (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610 False, ,11.0.60610, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.21022 False, ,9.0.21022, ,Microsoft Corporation
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.61030, ,11.0.61030, ,Microsoft Corporation
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.51106 False, ,11.0.51106, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.4148 False, ,9.0.30729.4148, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729 False, ,9.0.30729, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Minimum Runtime - 12.0.40664, ,12.0.40664, ,Microsoft Corporation
Microsoft Visual C++ 2013 x64 Additional Runtime - 12.0.40660 False, ,12.0.40660, ,Microsoft Corporation
Python 3.11.5 pip Bootstrap (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.51106 False, ,11.0.51106, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.6161, ,9.0.30729.6161, ,Microsoft Corporation
Windows PC Health Check, ,3.6.2204.08001, ,Microsoft Corporation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.59192 False, ,8.0.59192, ,Microsoft Corporation
Python 3.11.5 Test Suite (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2005 Redistributable - x64 8.0.50727.42 False, ,8.0.50727.42, ,Microsoft Corporation
Microsoft Visual C++ 2012 x64 Additional Runtime - 11.0.60610 False, ,11.0.60610, ,Microsoft Corporation
Python 3.11.5 Executables (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.28.29325, ,14.28.29325, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.17 False, ,9.0.30729, ,Microsoft Corporation
Microsoft Visual C++ 2008 Redistributable - x64 9.0.30729.5570 False, ,9.0.30729.5570, ,Microsoft Corporation
Python 3.11.5 Utility Scripts (64-bit), ,3.11.5150.0, ,Python Software Foundation
Microsoft Office Professional Plus 2016, ,16.0.4266.1001, ,Microsoft Corporation
